transaction_date,buuid,transaction_value,approved_transaction_count,failed_transaction_count
2021-08-27,1554474923734-7ba6b899-2bbd-468a-b56c-6b83125358f7,1602,16,0
2021-08-27,1485330410128-537d8570-7e91-44bc-b54b-40e8be9b4643,34560,248,8
2021-08-27,1554136026625-5032c2d3-5665-4eb5-8511-be1622581483,3349,16,0
2021-08-27,1607417548512-693e7286-1436-45ec-b7c0-e6c92ce83f38,11803,16,1
2021-08-27,1543915907471-052079f7-ee80-4592-8582-e525e69753dd,6474.05,15,7
2021-08-27,1512302249032-b4289826-1258-427b-be14-8cab04a14c26,3260,6,5
2021-08-27,1508242147176-601f2265-35ce-49ab-b372-e6f4bdec49db,2959,18,3
2021-08-27,1555578241161-5c616fbf-e0e9-4e49-9d11-20b8ae40b432,65067.5,185,46
2021-08-27,1608777682408-c2950cce-fbf1-42c2-806c-4254981aa846,920,2,2
2021-08-28,1588848041740-384c66c5-1448-4812-8d05-b38e3c99ebc0,1472,4,1
2021-08-28,1554136026625-5032c2d3-5665-4eb5-8511-be1622581483,18670,101,16
2021-08-28,1512302249032-b4289826-1258-427b-be14-8cab04a14c26,2263,3,1
2021-08-28,1517567512986-dd1b0795-47e6-4232-ac4c-4ec28749773e,5321,25,6
2021-08-28,1595511590312-7a479a3e-8f60-4807-b3b9-64d6e280072b,2015,8,1
2021-08-28,1485330410128-537d8570-7e91-44bc-b54b-40e8be9b4643,39448,304,40
2021-08-28,1509109286074-0c36ba7d-023c-4694-85ec-3e0b6fdcacbc,14375,45,5
2021-08-28,1620045517589-e5dea663-7af1-4249-8b2f-7ba09c708e23,1332,8,0
2021-08-28,1586994324090-b7314e76-4c99-4584-9191-c7baf662be6e,1220.4,10,4
2021-08-28,1617983936374-f7c30788-fae4-4307-beb1-a81985ccaf16,4330,46,8
2021-08-28,1550658890053-8878ee95-f2e4-49af-8a5c-360e6a26188b,2734.7,12,2
2021-08-28,1614211600887-2307ed7f-ae7a-4202-8533-31c9059c48ba,15851.5,45,27
2021-08-29,1585509625445-9aec6212-a41b-4a35-97cb-b4d6b6f4e8ce,2329,16,1
2021-08-29,1607514042503-1f5c28bd-30c4-4282-9030-25df12c239de,658,6,4
2021-08-29,1615980831684-eb6869d7-d08a-4f32-a946-c6e0e27d55dd,6398,8,0
2021-08-29,1622882399181-e70a367f-78dd-4943-b1d8-65ac4f091761,982,1,1
2021-08-29,1624533349577-7a44f42d-588a-4217-8ac2-e9ffffc1199c,505,9,4
2021-08-29,1578390627124-52e01163-6e27-4e85-8468-51c7f8ee6e24,13785,81,21
2021-08-29,1617353005467-7f625356-d4b2-4179-9ef2-62e9cd63ae55,1149.96,4,8
2021-08-29,1584986022737-cff53979-433b-438d-94b9-85fd8aa52180,9103.72,39,1
2021-08-29,1586994324090-b7314e76-4c99-4584-9191-c7baf662be6e,1014,12,12
2021-08-30,1617135765902-4609af92-4951-4347-a328-79a2f7e51647,1067,27,5
2021-08-30,1626890332639-79f45dde-2890-4a0c-9ffb-83088798d8e4,880,4,2
2021-08-30,1623418475590-f887252a-7b9a-47e3-b9fe-63b26141f236,2500,2,2
2021-08-30,1608268241768-52863404-b5a6-4fe1-ab24-4fac6caeb6fa,4005,24,3
2021-08-30,1584986022737-cff53979-433b-438d-94b9-85fd8aa52180,8079.4,31,1
2021-08-30,1520416524678-16a3d281-ccda-41d3-8f98-19ff36bc54ca,585,4,0
2021-08-30,1571473002958-76439d6b-a90b-4ec2-81fb-b788a3085537,5214,18,0
2021-08-30,1474456872760-a5bb19ee-3efe-4890-a785-aafa38cadc8a,6265,9,0
2021-08-30,1577890113823-7279469c-9405-456d-ad07-8b3f114b5a0e,3600,1,0
2021-08-31,1606753055023-4d6a9e44-87ad-4a9c-badd-4c33f16fa177,1720,5,1
2021-08-31,1596611120961-655c4d79-902b-40ce-957d-92a4feffccad,13210,24,0
2021-08-31,1572023920337-786cc891-e3cf-4cd6-93bd-3e0069307088,1140,4,0
2021-08-31,1574942256239-bc2aa261-d428-4353-a112-e0f351193700,4158,20,0
2021-08-31,1601367687832-77fc24dd-a571-441c-afec-7a68922b5f0e,1574,8,0
2021-08-31,1598956810701-5ba980b1-2a8e-4c82-b697-85a6800f4697,1566,5,3
2021-08-31,1606215638997-18be5214-a8d8-4ee8-b2a5-ca0894bbc5ef,504,4,1
2021-09-01,1550658890053-8878ee95-f2e4-49af-8a5c-360e6a26188b,1840.5,6,0
2021-09-01,1499786536388-78153cc6-e385-476b-aaf4-3989e25bc143,4602,19,1
2021-09-01,1598260387230-b0c5f7f9-85f7-4626-985f-dd3cca86f197,750,7,6
2021-09-01,1509109286074-0c36ba7d-023c-4694-85ec-3e0b6fdcacbc,9715,30,0
2021-09-01,1601367687832-77fc24dd-a571-441c-afec-7a68922b5f0e,2442,10,0
2021-09-01,1484834667492-04ce1b02-9fc8-4e87-b164-dae5f5a06a0b,45695,80,10
2021-09-01,1627813884804-55c2f1f2-3e86-421b-b997-31523714a1ac,260,2,0
2021-09-01,1581669839783-dd6eb860-eead-4e3e-8a19-159b25342443,4522,46,8
2021-09-01,1594982148060-6f5415e0-ace0-4abb-af71-6b5bf41bf62b,5320,12,0
2021-09-01,1598956810701-5ba980b1-2a8e-4c82-b697-85a6800f4697,3761,11,7
2021-09-02,1554474923734-7ba6b899-2bbd-468a-b56c-6b83125358f7,1066,12,0
2021-09-02,1601367687832-77fc24dd-a571-441c-afec-7a68922b5f0e,3286.7,18,1
2021-09-02,1479108360638-bf43ff5d-7e91-43c3-aeb5-f2fda4502650,17399.65,15,1
2021-09-02,1608777682408-c2950cce-fbf1-42c2-806c-4254981aa846,920,2,2
2021-09-02,1604063541171-bf23040a-56b3-42dd-9b1b-4c055d25e69d,582,4,10
2021-09-03,1610480766607-a68a1b2b-c144-4391-a356-1af188dda299,4462,16,18
2021-09-03,1608268241768-52863404-b5a6-4fe1-ab24-4fac6caeb6fa,8190,66,0
2021-09-03,1526029675245-27abb22b-94de-4a16-bac5-29289a9ece6e,2090.74,12,0
2021-09-03,1555578241161-5c616fbf-e0e9-4e49-9d11-20b8ae40b432,61495.05,218,54
2021-09-03,1601374866641-ac09c6d6-f2af-42c3-9b1c-872e0d62015d,19470,32,0
2021-09-03,1598161007579-192f7c42-ffa1-4d2d-b189-e8c74380c7cf,10110,108,48
2021-09-03,1626417743218-444e9984-1117-46a0-85df-87a454ce2cf5,660,2,1
2021-09-04,1591188999854-da77ff0f-1770-42af-b210-ca5a208be11f,43576,288,136
2021-09-04,1565602997815-f739ce46-abc4-4338-a042-3c8a98242807,36865,70,5
2021-09-04,1608219600940-a4207577-3395-4117-92b3-d870ec721416,1225,18,1
2021-09-04,1627716477597-8c0b9490-3bfb-4dce-9e68-5873a6b7e858,21870,86,12
2021-09-04,1586897559191-f97b47c8-b64c-4bf3-958c-c8620c23f989,4654,14,0
2021-09-05,1598260387230-b0c5f7f9-85f7-4626-985f-dd3cca86f197,25,1,0
2021-09-05,1624742624561-0382b78a-1b12-40da-a7b5-7a1d7e4388d7,70,1,0
2021-09-05,1607417548512-693e7286-1436-45ec-b7c0-e6c92ce83f38,3583.25,9,2
2021-09-05,1611953149392-ba17d06d-3794-455d-a7a4-98ea51ee3c92,290,2,1
2021-09-05,1618927930223-3d4ede3f-8eea-4ee8-913a-39010c3897e8,1070,3,2
2021-09-05,1598161007579-192f7c42-ffa1-4d2d-b189-e8c74380c7cf,3870.04,8,2
2021-09-06,1622301451154-ebcc4697-1a31-44d9-bd8a-062b57c1d20f,2450,5,0
2021-09-06,1525870087639-557a6be1-10ac-4531-b7fe-a13ff3b7ff20,5109,14,0
2021-09-06,1608795892701-376e49b6-d2eb-4800-bb04-6aedda0c10ae,2860,28,18
2021-09-07,1606891336926-ff951efa-c70a-4ef1-9edd-a6013d5cf48f,42,1,0
2021-09-07,1552412048292-b1246b83-3799-4be1-ba45-6e041354db07,1930,35,15
2021-09-07,1626780136979-10e29abd-b36d-4578-a178-bb6618c101d2,1960,9,0
2021-09-07,1590499577377-4ed52176-0174-45f2-b265-49ed31d11aaf,16647,98,12
2021-09-07,1578390627124-52e01163-6e27-4e85-8468-51c7f8ee6e24,24165,96,15
2021-09-07,1586897559191-f97b47c8-b64c-4bf3-958c-c8620c23f989,3440,10,0
2021-09-07,1512124108081-5d462775-53e2-4f4f-9ccf-15f4e0614a46,5320,66,2
2021-09-07,1550138047147-210d6ec8-e4b1-49a1-afad-a1cceba5ed2f,2400,9,0
2021-09-07,1565602997815-f739ce46-abc4-4338-a042-3c8a98242807,23070,75,15
2021-09-08,1607424361966-803a9db8-f078-4427-bc4e-9eca2111fd95,50755,200,0
2021-09-08,1513849122969-936e9a7b-c1b1-48de-9dd4-f182284b859d,11182,60,14
2021-09-08,1550658890053-8878ee95-f2e4-49af-8a5c-360e6a26188b,1745,6,5
2021-09-08,1578390627124-52e01163-6e27-4e85-8468-51c7f8ee6e24,35085,72,3
2021-09-08,1617280710337-a99376ab-fc4c-4ca0-a004-00a327a7b2a9,9152.29,4,0
2021-09-08,1588145636493-7f53adc5-0dfd-4a87-b23b-c9d315e10acf,1969.5,2,0
2021-09-09,1578390627124-52e01163-6e27-4e85-8468-51c7f8ee6e24,15480,66,3
2021-09-09,1584986022737-cff53979-433b-438d-94b9-85fd8aa52180,10814.48,28,3
2021-09-09,1512124108081-5d462775-53e2-4f4f-9ccf-15f4e0614a46,4697.4,56,8
2021-09-09,1446720162513-27a5f622-458c-40f5-b2a0-7c24f44a3c21,1201.9,6,0
2021-09-09,1594982148060-6f5415e0-ace0-4abb-af71-6b5bf41bf62b,8880,20,2
2021-09-09,1604063541171-bf23040a-56b3-42dd-9b1b-4c055d25e69d,280,2,7
2021-09-09,1596611120961-655c4d79-902b-40ce-957d-92a4feffccad,3440,14,4
2021-09-09,1476287149812-67f30162-7183-4a55-b05e-a1cf39342124,691,3,0
2021-09-09,1574767111221-ed344e8a-2375-4812-b2c2-856bda0d040e,571,8,2
2021-09-09,1614679086948-2335f0d2-5a1b-4206-b37f-a9d5cf9cd965,1229,13,7
2021-09-10,1574413743478-cbc74fdd-efe5-4a78-abbe-0cd59a0f0e5f,1072,12,1
2021-08-30,1474536195771-180abe91-5d55-4426-ba7a-76b5fec1a897,2651,6,0
2021-08-30,1557397298991-b1aad3fd-3d95-4921-85d9-04a504c28606,7797.5,65,25
2021-08-30,1566550272160-93cba9f5-e3c9-44c7-80f2-d1077855695b,533,12,1
2021-08-30,1604388122620-9d3e35de-b776-42b8-91ab-1ef3155fab36,6464,76,56
2021-08-30,1601327432887-f3c249ed-81ab-4102-a9f6-bb532d8ab21f,1420,16,8
2021-08-30,1596037113342-fb4f6470-9f49-4a3e-a877-7d4a8ea88985,647.28,4,1
2021-08-30,1616231397864-df7a3435-74d4-43e3-a7da-596ea6b1e667,1271,21,7
2021-08-30,1584359884562-4995383c-0d1d-4c39-a4ca-d86e1325a0e0,175,2,0
2021-08-30,1606215638997-18be5214-a8d8-4ee8-b2a5-ca0894bbc5ef,1348,9,4
2021-08-30,1584028974569-c000587d-4126-4149-b234-341d04b50735,2050,6,5
2021-08-30,1627308659262-0b6a5aca-cd4d-44d4-af55-75a1cd0a5dd8,430,2,0
2021-08-30,1627716477597-8c0b9490-3bfb-4dce-9e68-5873a6b7e858,3626,18,3
2021-08-31,1604866643413-8080c541-532e-4f4d-a669-eafa2ec56373,1660,9,2
2021-08-31,1595282121192-b716e908-9ff5-4e1c-a59b-fc495f57916f,2566.6,22,1
2021-08-31,1596099472752-a0247d8f-c922-4438-be2d-5034be12da8f,1803,9,1
2021-08-31,1565602997815-f739ce46-abc4-4338-a042-3c8a98242807,18365,95,0
2021-08-31,1537776497168-7927fc24-4d77-4d5a-b2ec-98602f920bf0,11642,9,0
2021-08-31,1606891336926-ff951efa-c70a-4ef1-9edd-a6013d5cf48f,179,3,3
2021-08-31,1629204142278-6833c181-f50b-4e7a-a799-9f8e113ac321,27,1,0
2021-08-31,1607424361966-803a9db8-f078-4427-bc4e-9eca2111fd95,37795,140,40
2021-08-31,1622066064537-ad986e32-7de1-4504-9cb6-9c12393f0a79,1825,10,1
2021-08-31,1579300600479-2b273a28-75c3-4b62-84a2-302b0690ec75,2000,1,2
2021-08-31,1598380337291-820a2259-0974-412c-a375-339fcc55df67,265,2,4
2021-09-01,1627102202940-f65a33d6-f2cb-475e-bf8c-70e00a6a5aab,440,3,3
2021-09-01,1513849122969-936e9a7b-c1b1-48de-9dd4-f182284b859d,17446,80,18
2021-09-01,1608795892701-376e49b6-d2eb-4800-bb04-6aedda0c10ae,1408,22,4
2021-09-01,1570610804261-f84376e3-6bd3-4c1f-a4c8-8b63b6ec4b27,590,1,0
2021-09-01,1474456872760-a5bb19ee-3efe-4890-a785-aafa38cadc8a,10611,31,5
2021-09-01,1525870087639-557a6be1-10ac-4531-b7fe-a13ff3b7ff20,2653,15,0
2021-09-01,1624533349577-7a44f42d-588a-4217-8ac2-e9ffffc1199c,286,3,1
2021-09-01,1614679086948-2335f0d2-5a1b-4206-b37f-a9d5cf9cd965,2190,22,2
2021-09-02,1609225159063-c5ef57c6-b630-4a20-b455-359abf5eeb9d,5476.65,29,3
2021-09-02,1551100453469-57c35973-7476-40e2-a848-30a2dd5d269b,1700,40,2
2021-09-02,1610480766607-a68a1b2b-c144-4391-a356-1af188dda299,5680,24,11
2021-09-02,1592738706633-e2f4498c-71bb-4500-b2e6-8ba844432a8d,23500,40,6
2021-09-02,1501680821448-190eeff4-b3d0-4674-9f69-3dc56692504b,950,7,0
2021-09-02,1471869286358-fdc228c1-8fc1-4070-b9be-243aabd79909,13260,9,0
2021-09-02,1588063384454-5e40e713-e2a5-40f6-9279-3dc5f6c091bf,514.5,5,2
2021-09-02,1624533349577-7a44f42d-588a-4217-8ac2-e9ffffc1199c,23,1,1
2021-09-03,1590134671750-e5309e09-a3a7-481a-bf7e-84c43769881d,1410,6,1
2021-09-03,1606144092277-c75b353c-77c0-429a-bd35-0ab5da2e38a2,1217,4,2
2021-09-03,1497430261259-c4f2549f-0eb9-4e77-8439-fb2033be2caa,727.6,6,2
2021-09-03,1550138047147-210d6ec8-e4b1-49a1-afad-a1cceba5ed2f,1096,9,1
2021-09-03,1578390627124-52e01163-6e27-4e85-8468-51c7f8ee6e24,16830,102,3
2021-09-03,1474456872760-a5bb19ee-3efe-4890-a785-aafa38cadc8a,13971,37,9
2021-09-03,1598002265290-b9dcf210-1224-4833-8f4d-fc21757214b4,600,1,0
2021-09-03,1562332832905-5097413f-df4d-4d71-b67b-539853abf4aa,600,3,0
2021-09-03,1553615597046-9b181488-e624-4307-8e0c-c647cad9663f,1130,6,1
2021-09-03,1606891336926-ff951efa-c70a-4ef1-9edd-a6013d5cf48f,498,7,2
2021-09-04,1589961365391-2b9a3838-cfe4-494d-be95-264ca3b038e7,4980,4,2
2021-09-04,1595172261981-e52d1b9d-5f73-423a-9cf8-2ec40edcd165,1285.59,8,4
2021-09-04,1616762564889-e3fe009e-668d-4d19-be48-745510b9a8d3,1551,15,5
2021-09-04,1594982148060-6f5415e0-ace0-4abb-af71-6b5bf41bf62b,10380,20,0
2021-09-04,1581669839783-dd6eb860-eead-4e3e-8a19-159b25342443,22500,132,28
2021-09-04,1543915907471-052079f7-ee80-4592-8582-e525e69753dd,8104,19,2
2021-09-04,1560980106953-1fd4c500-e013-44cb-a663-fb904e9e1853,1400,2,4
2021-09-04,1509109286074-0c36ba7d-023c-4694-85ec-3e0b6fdcacbc,11000,60,25
2021-09-04,1598260387230-b0c5f7f9-85f7-4626-985f-dd3cca86f197,2337,20,12
2021-09-04,1616501877368-112fb449-fb08-4909-8403-a3c0e60c9c7c,5862,31,7
2021-09-04,1586994324090-b7314e76-4c99-4584-9191-c7baf662be6e,2556,24,24
2021-09-04,1579090622924-c53eb2f6-d145-4d38-bf15-50d7969387f5,7524,18,0
2021-09-04,1627813884804-55c2f1f2-3e86-421b-b997-31523714a1ac,1660,16,3
2021-09-04,1508242147176-601f2265-35ce-49ab-b372-e6f4bdec49db,2742,18,1
2021-09-04,1550658890053-8878ee95-f2e4-49af-8a5c-360e6a26188b,3862,14,1
2021-09-04,1499786536388-78153cc6-e385-476b-aaf4-3989e25bc143,6669,26,4
2021-09-04,1606852838518-14089193-7b63-4e18-bec3-dacba3c6d301,736,6,0
2021-09-04,1617353005467-7f625356-d4b2-4179-9ef2-62e9cd63ae55,1749.94,4,0
2021-09-05,1603133688552-6384da6d-809f-46ce-87cc-90eb0518ed78,8070,48,22
2021-09-05,1589479493395-97c747a7-5c69-4762-a78d-1208fb9f998a,1730,20,7
2021-09-05,1512124108081-5d462775-53e2-4f4f-9ccf-15f4e0614a46,17550.6,188,38
2021-09-05,1604063541171-bf23040a-56b3-42dd-9b1b-4c055d25e69d,4372,25,13
2021-09-05,1474456872760-a5bb19ee-3efe-4890-a785-aafa38cadc8a,5162,11,1
2021-09-05,1562332832905-5097413f-df4d-4d71-b67b-539853abf4aa,990,4,11
2021-09-05,1615897063623-67b0842c-8adc-4879-8101-1f84e682507e,335,2,0
2021-09-05,1613743791949-831f4517-6159-4b83-a86b-348d692fcd15,5720,9,0
2021-09-06,1585509625445-9aec6212-a41b-4a35-97cb-b4d6b6f4e8ce,2572,28,11
2021-09-06,1617278828832-f56bdab4-e26e-44b5-b1ed-8ec1319c799a,2315.06,1,0
2021-09-06,1624742624561-0382b78a-1b12-40da-a7b5-7a1d7e4388d7,160,1,1
2021-09-06,1517567512986-dd1b0795-47e6-4232-ac4c-4ec28749773e,4060,15,7
2021-09-06,1608268241768-52863404-b5a6-4fe1-ab24-4fac6caeb6fa,4758,33,0
2021-09-06,1554474923734-7ba6b899-2bbd-468a-b56c-6b83125358f7,920,6,4
2021-09-06,1610560409103-2f697a42-0fff-4ddd-87e7-4d21594919a5,1300,2,0
2021-09-10,1557397298991-b1aad3fd-3d95-4921-85d9-04a504c28606,8465,65,65
2021-09-10,1588063384454-5e40e713-e2a5-40f6-9279-3dc5f6c091bf,520.5,4,1
2021-09-10,1505224680537-7903972e-3a59-42e1-83cb-485992adee13,2010,28,7
2021-09-10,1627716477597-8c0b9490-3bfb-4dce-9e68-5873a6b7e858,31173,92,9
2021-09-10,1604866643413-8080c541-532e-4f4d-a669-eafa2ec56373,1665,9,1
2021-09-10,1607514042503-1f5c28bd-30c4-4282-9030-25df12c239de,772,9,2
2021-09-10,1627308659262-0b6a5aca-cd4d-44d4-af55-75a1cd0a5dd8,220,2,0
2021-09-11,1564573777032-ec1f4743-af11-48ee-aa48-16ee3e724db2,2013.7,13,0
2021-09-11,1479108360638-bf43ff5d-7e91-43c3-aeb5-f2fda4502650,16628,17,5
2021-09-11,1603177181947-760777b2-7ac6-428a-8b4d-facb40e0037f,24010,174,10
2021-09-11,1614800510114-2a65984c-3933-43e4-acbc-35aeaa264a9a,13160,14,2
2021-09-11,1554136026625-5032c2d3-5665-4eb5-8511-be1622581483,3425,15,15
2021-09-11,1543915907471-052079f7-ee80-4592-8582-e525e69753dd,2231,9,0
2021-09-11,1604063541171-bf23040a-56b3-42dd-9b1b-4c055d25e69d,3701,21,12
2021-09-12,1616780751875-13104da8-e007-4ad8-9330-eef83615d273,1278,6,5
2021-09-12,1581633732665-416ca8f8-dc68-4567-be17-c6ed13609eb0,2597.98,4,9
2021-09-12,1509109286074-0c36ba7d-023c-4694-85ec-3e0b6fdcacbc,7930,35,10
2021-09-13,1590499577377-4ed52176-0174-45f2-b265-49ed31d11aaf,13490,66,8
2021-09-13,1557397298991-b1aad3fd-3d95-4921-85d9-04a504c28606,3945,40,30
2021-09-13,1581633732665-416ca8f8-dc68-4567-be17-c6ed13609eb0,2666,3,2
2021-09-13,1627716477597-8c0b9490-3bfb-4dce-9e68-5873a6b7e858,5096,21,1
2021-09-13,1584028974569-c000587d-4126-4149-b234-341d04b50735,1220,3,1
2021-09-13,1579147272986-ee58e4c0-16ce-48d1-b579-6b0dafa9ee2f,2317,27,1
2021-09-13,1604388122620-9d3e35de-b776-42b8-91ab-1ef3155fab36,6104,64,60
2021-09-14,1620797045140-9505ca57-9123-49f1-9621-7cb96f10494b,480,3,0
2021-09-14,1584986022737-cff53979-433b-438d-94b9-85fd8aa52180,7095.73,30,2
2021-09-14,1578390627124-52e01163-6e27-4e85-8468-51c7f8ee6e24,23490,66,30
2021-09-14,1590134671750-e5309e09-a3a7-481a-bf7e-84c43769881d,595,4,2
2021-09-14,1497430261259-c4f2549f-0eb9-4e77-8439-fb2033be2caa,1374.6,9,6
2021-09-14,1501776832244-78854f9f-65b6-4d54-b3c2-2892c0da2362,321,3,0
2021-09-14,1446720162513-27a5f622-458c-40f5-b2a0-7c24f44a3c21,259.6,1,0
2021-09-14,1606144092277-c75b353c-77c0-429a-bd35-0ab5da2e38a2,431,2,0
2021-09-14,1575035333365-5ad1d99f-c8cf-4a4c-9d0e-484e941258d1,2622,54,10
2021-09-14,1550658890053-8878ee95-f2e4-49af-8a5c-360e6a26188b,2812.4,10,0
2021-09-15,1606399230017-25bfb619-6878-4663-9e95-47a5a5c60b80,653,12,2
2021-09-15,1584986022737-cff53979-433b-438d-94b9-85fd8aa52180,6976.15,32,1
2021-09-15,1608268241768-52863404-b5a6-4fe1-ab24-4fac6caeb6fa,5358,24,0
2021-09-15,1610643199088-595f1031-f269-453d-97e8-07ff3457155d,498,6,2
2021-09-15,1590134671750-e5309e09-a3a7-481a-bf7e-84c43769881d,1525,4,6
2021-09-15,1547196667303-8de6d15c-4566-470e-8977-ca9be4262d05,490,6,0
2021-09-16,1601327432887-f3c249ed-81ab-4102-a9f6-bb532d8ab21f,750,6,6
2021-09-16,1582533813745-f64f36a2-8efb-4ca4-b492-0ffb2b88cefd,1020,5,1
2021-09-16,1592738706633-e2f4498c-71bb-4500-b2e6-8ba844432a8d,19600,34,10
2021-09-16,1566550272160-93cba9f5-e3c9-44c7-80f2-d1077855695b,444,8,2
2021-09-16,1582364338756-a3277867-fddc-48b3-8361-db0474c692a0,1450,3,4
2021-09-16,1557397298991-b1aad3fd-3d95-4921-85d9-04a504c28606,4270,45,20
2021-09-17,1574413743478-cbc74fdd-efe5-4a78-abbe-0cd59a0f0e5f,1348,19,0
2021-09-17,1551100453469-57c35973-7476-40e2-a848-30a2dd5d269b,1840,42,10
2021-09-17,1609225159063-c5ef57c6-b630-4a20-b455-359abf5eeb9d,6029.2,26,4
2021-09-17,1586897559191-f97b47c8-b64c-4bf3-958c-c8620c23f989,12556,17,0
2021-09-17,1501680821448-190eeff4-b3d0-4674-9f69-3dc56692504b,1320,12,0
2021-09-17,1621202180552-ceb72c1f-78ff-42e0-af72-22dd4001d22a,1669.12,12,2
2021-09-17,1588063384454-5e40e713-e2a5-40f6-9279-3dc5f6c091bf,3979.7,12,2
2021-09-17,1620911603748-25de737a-fc7b-458f-9c06-c2ce9b18ea0c,1550,17,6
2021-09-18,1620911603748-25de737a-fc7b-458f-9c06-c2ce9b18ea0c,1925,27,42
2021-09-18,1581591996831-9061f05a-372d-496b-b5be-f8e805b392b3,3043,36,33
2021-09-18,1565602997815-f739ce46-abc4-4338-a042-3c8a98242807,14115,45,10
2021-09-18,1471869286358-fdc228c1-8fc1-4070-b9be-243aabd79909,2130,6,0
2021-09-18,1627716477597-8c0b9490-3bfb-4dce-9e68-5873a6b7e858,15721,46,15
2021-09-18,1596099472752-a0247d8f-c922-4438-be2d-5034be12da8f,1403,8,1
2021-09-18,1621202180552-ceb72c1f-78ff-42e0-af72-22dd4001d22a,2397,13,2
2021-09-18,1586897559191-f97b47c8-b64c-4bf3-958c-c8620c23f989,2664,7,2
2021-09-18,1605166815002-fb4120cc-b7f9-450a-8b41-76017111472d,1708,19,0
2021-09-18,1607514042503-1f5c28bd-30c4-4282-9030-25df12c239de,2375,24,11
2021-09-19,1591188999854-da77ff0f-1770-42af-b210-ca5a208be11f,84710.24,888,256
2021-09-19,1578918956457-d6904094-f207-4166-9420-f0ca1a275a87,270,1,2
2021-09-19,1608219600940-a4207577-3395-4117-92b3-d870ec721416,1180,17,1
2021-09-19,1565602997815-f739ce46-abc4-4338-a042-3c8a98242807,18185,85,5
2021-09-19,1620230682032-a6517973-efdd-427b-b519-188c8bc6df83,1630,12,4
2021-09-19,1620724829508-b4312c9e-5e03-49d3-8b9e-bf11636f0aab,28841,69,10
2021-09-19,1501776832244-78854f9f-65b6-4d54-b3c2-2892c0da2362,2380,18,1
2021-09-19,1614264451572-ec49f9e2-79e7-4a8f-98d6-fad971b43dcf,473,5,4
2021-09-20,1575014881341-589a98e4-84c2-4fc3-86ad-134416c86877,4370,14,2
2021-09-20,1606753055023-4d6a9e44-87ad-4a9c-badd-4c33f16fa177,180,3,0
2021-09-20,1499786536388-78153cc6-e385-476b-aaf4-3989e25bc143,1918,12,3
2021-09-20,1616762564889-e3fe009e-668d-4d19-be48-745510b9a8d3,310,4,0
2021-09-20,1608268241768-52863404-b5a6-4fe1-ab24-4fac6caeb6fa,5235,33,0
2021-09-20,1598939031357-76ac0941-8e4c-4b16-9612-857516fdb422,795,4,0
2021-09-20,1624742624561-0382b78a-1b12-40da-a7b5-7a1d7e4388d7,720,2,1
2021-09-20,1601374866641-ac09c6d6-f2af-42c3-9b1c-872e0d62015d,10820,20,2
2021-09-21,1554474923734-7ba6b899-2bbd-468a-b56c-6b83125358f7,1275,14,26
2021-09-21,1606753055023-4d6a9e44-87ad-4a9c-badd-4c33f16fa177,630,5,0
2021-07-01,1592839492894-3181a914-6a94-4452-84f2-93ca44252252,5240,6,0
2021-07-01,1585509625445-9aec6212-a41b-4a35-97cb-b4d6b6f4e8ce,836,15,5
2021-07-01,1596099472752-a0247d8f-c922-4438-be2d-5034be12da8f,2054,16,4
2021-07-01,1610480766607-a68a1b2b-c144-4391-a356-1af188dda299,3378,15,5
2021-07-01,1498144622675-cd9a0afc-2435-48d8-9199-c543c709d22b,2240,5,0
2021-07-01,1510659877007-51c26bb3-ce5d-406c-9c2c-d942970fa2f5,810,7,0
2021-07-02,1598939031357-76ac0941-8e4c-4b16-9612-857516fdb422,910,4,2
2021-07-02,1617353005467-7f625356-d4b2-4179-9ef2-62e9cd63ae55,810,6,0
2021-07-02,1526029675245-27abb22b-94de-4a16-bac5-29289a9ece6e,855.8,10,0
2021-07-02,1485330410128-537d8570-7e91-44bc-b54b-40e8be9b4643,27208,208,16
2021-07-02,1622066064537-ad986e32-7de1-4504-9cb6-9c12393f0a79,5725,38,2
2021-07-02,1622107628875-5e01e6c3-4ecc-497e-9ca5-3511cc249430,3648,6,0
2021-07-02,1619596147529-8dc6fe4d-57b1-47bc-9614-64cb0a905333,1700,4,0
2021-07-02,1543915907471-052079f7-ee80-4592-8582-e525e69753dd,6412.4,14,2
2021-07-03,1578918956457-d6904094-f207-4166-9420-f0ca1a275a87,1130,7,2
2021-07-03,1497430261259-c4f2549f-0eb9-4e77-8439-fb2033be2caa,888,6,4
2021-07-03,1446720162513-27a5f622-458c-40f5-b2a0-7c24f44a3c21,106.8,1,4
2021-07-03,1598947999844-23f5aeaa-caa1-4b4b-ad14-d4d9dc752ee4,13820,21,6
2021-07-03,1620045517589-e5dea663-7af1-4249-8b2f-7ba09c708e23,4399,21,2
2021-07-03,1560980106953-1fd4c500-e013-44cb-a663-fb904e9e1853,2500,6,0
2021-07-03,1578390627124-52e01163-6e27-4e85-8468-51c7f8ee6e24,37854,93,12
2021-07-03,1550658890053-8878ee95-f2e4-49af-8a5c-360e6a26188b,1800,8,5
2021-07-04,1589479493395-97c747a7-5c69-4762-a78d-1208fb9f998a,2719,19,4
2021-07-04,1512124108081-5d462775-53e2-4f4f-9ccf-15f4e0614a46,12713.1,134,26
2021-07-04,1584986022737-cff53979-433b-438d-94b9-85fd8aa52180,5988.44,33,3
