business_type,cohort_date,province,industry_l1,industry_l2,industry_l3,primary_service,buuid,plan_created,charge_rate,principal_amount,total_amount_payable,total_amount_paid,plan_state
Sole Proprietor,2019-02-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1549361640353-2b9257c0-4dd6-4924-bc65-c022f7465201,2021-11-15 10:55:05,23,42000,78083,8496.89,open
Company,2019-02-01 00:00:00,Free State,Retail,Retail transport,Automotive Parts/Accessories,Card Machine,1550138047147-210d6ec8-e4b1-49a1-afad-a1cceba5ed2f,2021-11-15 09:24:15,26,120000,156945,20987.72,open
Company,2019-02-01 00:00:00,Gauteng,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1550470102541-c245f3a8-b703-45fa-918e-0eef611ef989,2021-11-15 06:36:40,23,78000,103360,9225.6,open
Sole Proprietor,2019-03-01 00:00:00,Free State,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1553751441463-c3ee5bf9-3128-411f-993b-dcb54aaa6a93,2021-09-28 18:48:26,21,15000,19550,8026.41,open
Company,2019-04-01 00:00:00,Gauteng,Professional services,Other services,Other,Card Machine,1555402816006-491dc116-3e3f-4b2a-b89b-f939c9df5ba2,2021-09-27 14:33:35,21,44000,57250,5273.31,open
Sole Proprietor,2019-07-01 00:00:00,Kwazulu-Natal,"Food, drink and hospitality",Other food,Other,Card Machine,1479305169257-03203513-3bdc-41e7-8ad5-4c393b23cbf1,2021-11-08 14:32:03,13,65000,84550,7003.44,open
Company,2019-07-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1562860833288-26a6c48f-6758-4635-9c59-b36f5ea81714,2021-11-29 18:31:02,2,3000,3710,560.78,open
Sole Proprietor,2019-07-01 00:00:00,Gauteng,Retail,Retail apparel,Clothing and Accessories,Card Machine,1555848435373-eac9181f-c7b8-4932-812d-aa426d09d1aa,2021-11-03 08:35:37,24,8000,10450,1454.4,open
Company,2019-08-01 00:00:00,Mpumalanga,Retail,Retail leisure,Sporting Goods,Card Machine,1567140161954-b873d810-3ce0-45bd-bb12-483d89cadad2,2021-11-02 14:14:14,24,40000,101761,26148.24,open
Company,2019-09-01 00:00:00,Gauteng,Personal services,Personal services,Other Services,Card Machine,1567764598048-363fcf4c-d689-4cc9-8266-e6d2fc14e148,2021-10-26 12:46:40,24,10500,13700,1762.8,open
Company,2019-09-01 00:00:00,Gauteng,Personal services,Personal services,Other Services,Card Machine,1567764598048-363fcf4c-d689-4cc9-8266-e6d2fc14e148,2021-10-18 09:00:07,23,13000,16950,,collections_on_hold
Company,2019-10-01 00:00:00,North West,Retail,Retail apparel,Clothing and Accessories,Card Machine,1570637702066-d74b4c65-81fc-4a65-b91d-a16820ce303e,2021-10-21 03:24:19,22,22000,28650,13047.54,open
Company,2019-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1549466723613-605cd1bc-584f-4d91-9a12-c82421886160,2021-09-16 17:55:59,13,63000,78170,31669.95,open
Sole Proprietor,2019-10-01 00:00:00,Eastern Cape,Travel and tourism,Accomodation,Bed and Breakfast,Card Machine,1571132262473-4a8b916e-7e22-4224-9b25-c98b2a061f6b,2021-11-26 06:39:19,22,30000,39050,1538.9,open
Company,2019-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1571377860310-a023b920-7ffa-42d5-b0e8-5a0523967148,2021-11-18 20:05:36,23,10000,13050,,collections_on_hold
Company,2019-10-01 00:00:00,Kwazulu-Natal,"Food, drink and hospitality",Sit-in,Café,Card Machine,1571846654082-2de8f8b2-ebbc-4b50-9754-404c4e2d8607,2021-11-04 09:41:23,23,32000,108023,15772.64,open
Company,2019-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1572200132246-d1c076bb-e2bb-453e-b3e4-073af63f7048,2021-09-16 10:38:38,21,26000,33850,12086.55,open
Sole Proprietor,2019-10-01 00:00:00,Free State,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1494958175209-4db2edc1-d86d-453e-af00-c68539f68f28,2021-10-04 13:23:04,22,12000,15650,7675.47,open
Sole Proprietor,2019-03-01 00:00:00,Western Cape,Professional services,Other services,Other,Card Machine,1536780275509-3d26617a-1cea-4444-bf57-c76153ba0671,2021-10-27 18:51:27,24,23000,29950,7418.4,open
Sole Proprietor,2019-03-01 00:00:00,Western Cape,Retail,Retail art,Craft market,Card Machine,1551698156744-ff52c890-0958-47ba-9ab9-2af4ad0a1817,2021-10-27 08:53:59,23,6500,8500,3392.5,open
Sole Proprietor,2019-03-01 00:00:00,Gauteng,Personal services,Personal services,Other Services,Card Machine,1551942252034-865ccf4d-561c-4d5c-8b05-1a4cd8cb7c3d,2021-11-03 12:47:00,23,40000,50850,18017.97,open
Sole Proprietor,2019-03-01 00:00:00,Gauteng,Retail,Retail apparel,Jewelry and watches,Card Machine,1526242084161-2fe91fd4-85fe-483c-b0d1-07ecbd41843b,2021-11-18 18:39:18,11,2500,3050,,collections_on_hold
Company,2019-04-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1556121053257-a04dd481-7cef-4f56-9702-c96e0b45fa3d,2021-09-01 11:17:12,21,11500,20564,21074.28,finished
Sole Proprietor,2019-05-01 00:00:00,Mpumalanga,Home and repair,Asset repair,Automotive services,Card Machine,1557908056325-beae59a2-7686-4c15-a095-e0745dd73fcf,2021-09-01 09:53:19,22,6000,7850,3395.7,open
Company,2019-05-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1558363267729-7b3e70d7-926e-455c-8fe6-44f7838d30f7,2021-09-27 06:21:22,15.49,180000,232200,53845.67,open
Company,2019-05-01 00:00:00,Kwazulu-Natal,Retail,Retail home,Hardware shop,Card Machine,1507458977341-e70063f5-a1d1-47c1-b315-994e1e8d1171,2021-11-19 06:42:52,17.98,500000,575000,200000,collections_on_hold
Company,2019-05-01 00:00:00,Free State,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1558703126280-bef1d8d8-cd6c-432f-bfc7-9e1fe5f32c9d,2021-11-22 10:33:06,13,80000,146500,,collections_on_hold
Company,2019-05-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Health,Medical & Health Practitioners/Services,Card Machine,1559126519111-7836e9b7-a3db-492e-a551-cd8cfe55c75e,2021-10-20 18:55:10,23,29000,84645,12371.7,open
Sole Proprietor,2019-06-01 00:00:00,Western Cape,Professional services,Other services,Other,Card Machine,1550658890053-8878ee95-f2e4-49af-8a5c-360e6a26188b,2021-09-22 19:13:55,12,100000,130050,37768.68,open
Sole Proprietor,2019-06-01 00:00:00,Gauteng,Personal services,Personal services,Other Services,Card Machine,1561393698452-b1ec0b22-3e32-4161-b2d2-931c42c9852a,2021-10-20 12:45:21,22,10500,34565,5018.2,open
Company,2019-06-01 00:00:00,Western Cape,Home and repair,Other repair,Other,Card Machine,1543168767607-9c0b9cd3-dfc8-4d73-a9ae-00eddc574578,2021-11-29 09:20:37,19,30000,67104,7633.28,open
Company,2019-06-01 00:00:00,Mpumalanga,Home and repair,Asset repair,Automotive services,Card Machine,1559822656222-63897ea8-2e92-437f-b24e-eceeed774289,2021-10-28 08:17:30,22,25000,30550,10242.76,open
Company,2019-06-01 00:00:00,Kwazulu-Natal,Professional services,Creative services,Photography/Art/Graphics/Design,Card Machine,1561620326357-bb63490e-635f-4450-8e45-171bc830a2b3,2021-10-20 14:07:44,23,63000,229930,41721.18,open
Sole Proprietor,2019-06-01 00:00:00,Gauteng,Professional services,Creative services,Photography/Art/Graphics/Design,Card Machine,1561645814284-efb96b83-8f0b-4365-bdbf-555f85b6c3fa,2021-09-08 14:39:13,21,39000,57427,57427,finished
Sole Proprietor,2019-06-01 00:00:00,Gauteng,Professional services,Creative services,Photography/Art/Graphics/Design,Card Machine,1561645814284-efb96b83-8f0b-4365-bdbf-555f85b6c3fa,2021-11-10 14:27:53,23,64000,118893,7287.55,open
Company,2019-07-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1555013935484-2a0e3e5d-8a51-450f-acd8-a4afb2f95cd2,2021-11-11 06:28:26,19,6000,7370,2342.32,open
Sole Proprietor,2019-08-01 00:00:00,Western Cape,Retail,Other retail,Other Retail,Card Machine,1566188036959-6ac85931-bac4-427e-9f1f-6aec12c0bb16,2021-11-24 07:35:53,24,9500,12400,,open
Sole Proprietor,2019-08-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1566978482092-11db4254-6f22-4992-b56a-65b9f3ac13d3,2021-11-24 14:18:11,23,17000,22150,,collections_on_hold
Sole Proprietor,2019-08-01 00:00:00,North West,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1567068694305-066e2282-ea6b-457d-ad9a-f48a8fc32854,2021-11-16 08:50:43,25,50000,64550,9436.62,open
Sole Proprietor,2019-09-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1567429560770-6254cf8c-4d04-4774-bb4e-8ddb4c8923ab,2021-11-03 14:30:34,23,21000,63226,,open
Sole Proprietor,2019-09-01 00:00:00,Kwazulu-Natal,Retail,Retail home,Furniture / Home goods,Card Machine,1566838373534-7f2e2956-3f5f-4469-ab35-1fc387971799,2021-11-04 15:10:34,9.7,110000,141900,4257.33,open
Company,2019-09-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1567624373585-d2d4f605-00be-4e70-97d0-6d15eacdc662,2021-10-04 09:54:23,22,5000,6550,2043.8,open
Sole Proprietor,2019-09-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1568447260248-2cb858d1-0a19-4bdf-b80f-cf7eec0ea8b0,2021-10-15 18:24:28,23,5500,7200,1865.99,open
Company,2019-10-01 00:00:00,Gauteng,Professional services,Other services,Other,Card Machine,1570870577807-45df98b6-bbd9-48bd-bd31-6c822e1df005,2021-11-29 09:49:38,14,20000,22851,1194.62,open
Sole Proprietor,2019-10-01 00:00:00,Kwazulu-Natal,Home and repair,Asset repair,Automotive services,Card Machine,1501768390728-2c33543f-d05a-4b51-830a-e0314c63c132,2021-10-21 04:10:41,23,40000,52050,9392.05,open
Sole Proprietor,2019-10-01 00:00:00,Free State,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1571822977075-f9f236a3-1cc6-428e-b32c-6f278206ef37,2021-11-04 03:15:24,23,18000,30953,4711.93,open
Company,2019-11-01 00:00:00,Western Cape,Retail,Retail transport,Bicycle Shop/Service,Card Machine,1572527975197-0441e5e9-9a93-4a45-8a1a-309d732d00c3,2021-11-08 06:58:09,14.71,140000,180600,1366.56,open
Company,2019-04-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Sport,Sport & Fitness,Card Machine,1554474923734-7ba6b899-2bbd-468a-b56c-6b83125358f7,2021-11-19 11:15:51,23,18000,22910,,collections_on_hold
Company,2019-05-01 00:00:00,Western Cape,"Food, drink and hospitality",Other food,Other,Card Machine,1556788226956-3e9f5f9c-b3a8-4af5-bf53-23a2c7c9521f,2021-11-15 09:36:02,9,20000,25450,4069.71,open
Company,2019-07-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1562580668271-3fb5341a-4f96-47c2-8a51-91636b2c5b29,2021-10-20 16:17:00,23,25000,32550,10510.77,open
Sole Proprietor,2019-07-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1562610075472-566fa14c-9226-4752-aadd-34fe457f54ad,2021-10-27 14:12:46,23,19000,24750,3775.45,open
Sole Proprietor,2019-07-01 00:00:00,North West,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1563035219789-29293bd6-6a8c-4a06-8e93-8a1fabe4027f,2021-11-11 14:58:29,23,16000,20850,3423.55,open
Sole Proprietor,2019-07-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Café,Card Machine,1562763605520-e2a135d2-0c9e-46f6-9dca-c401a7561226,2021-11-22 08:41:50,24,19500,25400,,collections_on_hold
Company,2019-07-01 00:00:00,Western Cape,Retail,Retail transport,Automotive Parts/Accessories,Card Machine,1563261717449-8570ea33-1301-448e-98ea-2c4c1ed5de69,2021-11-12 06:26:01,45,250000,315000,44535.5,open
Company,2019-07-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1549464594512-786282d5-347c-4374-a745-0dabd80bd5ad,2021-10-07 12:41:13,5,7000,9508,1816.25,open
Sole Proprietor,2019-08-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1509900247381-9f4cf2fd-d2b1-41ca-a0ea-ec0de2bf3503,2021-10-20 13:50:18,17,40000,133866,15310.88,open
Sole Proprietor,2019-08-01 00:00:00,Kwazulu-Natal,"Food, drink and hospitality",Other food,Other,Card Machine,1562706340143-9d8cd2e6-ba1f-415e-9430-c06ae86e6131,2021-11-25 10:16:49,22,30000,36650,,collections_on_hold
Company,2019-08-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Health,Medical & Health Practitioners/Services,Card Machine,1566205268815-295fcef4-75e2-4fe5-9075-1da17e6cce60,2021-10-20 13:04:58,23,57000,222585,32058.03,open
Company,2019-09-01 00:00:00,Gauteng,Retail,Other retail,Other Retail,Card Machine,1565171206455-c7e7bb0e-21ab-4024-a36b-c0b323d922b2,2021-10-22 10:53:25,23,29000,54663,18278.19,open
Sole Proprietor,2019-09-01 00:00:00,North West,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1568137925560-baa6ce79-c997-48ca-8350-10fccbaf3b25,2021-09-17 10:11:52,21,15500,48028,48028,finished
Sole Proprietor,2019-09-01 00:00:00,North West,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1568137925560-baa6ce79-c997-48ca-8350-10fccbaf3b25,2021-11-18 13:29:29,23,14500,54556,,collections_on_hold
Sole Proprietor,2019-09-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Other food,Other,Card Machine,1566561385807-0cbe4488-c3a8-4aa6-aaa7-5d2cfa2ba938,2021-10-31 14:35:00,25,6000,7790,2549.06,open
Company,2019-09-01 00:00:00,Gauteng,Home and repair,Asset repair,Automotive services,Card Machine,1568975737221-def69ade-9cdc-43f9-a125-6cc01ff555e2,2021-09-03 15:06:14,4.13,31000,36270,3104.85,open
Sole Proprietor,2019-09-01 00:00:00,Free State,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1569848400646-ad5568de-439f-476d-8fae-f5d0ceba842a,2021-09-28 13:09:39,24,129000,165170,31014.96,open
Company,2019-10-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1568583197980-cc47d5af-023c-47d7-be76-6b4a503a5cc6,2021-10-19 16:05:19,24,17000,22150,1737.56,open
Sole Proprietor,2019-10-01 00:00:00,Free State,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1570447237788-d5e49853-a361-4879-9817-9e5f155b1da5,2021-11-26 16:43:08,7,2500,3100,358.4,open
Sole Proprietor,2019-10-01 00:00:00,Limpopo,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1570086291262-c58b7a5b-4f05-4f5f-9bc0-30f96d6e9a75,2021-11-28 17:43:58,20,7500,9725,934,open
Sole Proprietor,2019-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1571857089468-eb75f61b-5ea6-4e51-b7c2-561c41feb9ba,2021-09-21 11:18:16,21,13000,39885,11000.22,open
Sole Proprietor,2019-11-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Sport,Recreation/Sports,Card Machine,1572762495561-6d856597-1d44-41fd-a9b1-a44030d1c361,2021-10-04 13:55:24,22,13000,16950,5319.41,open
Company,2019-11-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1572958529498-4f99a09e-2f13-4afb-b278-2d2cdf90086b,2021-11-08 14:10:59,22,3500,4250,748.32,open
Sole Proprietor,2019-11-01 00:00:00,Gauteng,Personal services,Personal services,Other Services,Card Machine,1574158500531-6eb749af-bdb2-43ba-b837-53c5750dd078,2021-10-18 16:45:00,23,102000,177200,43413.65,open
Sole Proprietor,2019-11-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1572715934839-8104b687-6fe3-46b4-92cf-d0b596ca05c8,2021-10-13 14:14:14,21,11500,57304,12073.55,open
Company,2019-11-01 00:00:00,Gauteng,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1574501239087-561f326b-fbec-4af1-9301-a84dcdc42ea6,2021-09-12 13:33:15,21,16000,20850,8054.86,open
Sole Proprietor,2019-11-01 00:00:00,Kwazulu-Natal,NPO,NPO,Charitable Organizations,Card Machine,1574945861735-d0cd47bd-e696-432d-8cba-84fabd01c16f,2021-10-21 09:59:47,18,4000,5170,3960.54,open
Sole Proprietor,2019-11-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1574972646791-8ad21ef6-07e8-467c-9ab9-26c8af849724,2021-09-01 16:55:06,22,6500,8500,3753.2,open
Sole Proprietor,2019-11-01 00:00:00,North West,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1575032670769-89bc6c84-d2cc-4d72-94bd-d010488e3ada,2021-09-14 06:07:52,15.76,170000,219300,29793.07,open
Sole Proprietor,2019-03-01 00:00:00,Mpumalanga,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1553029449179-e22b38ec-b310-4ead-a3d8-ccdbebc75d56,2021-09-28 06:05:13,21,15000,19550,5114.55,open
Sole Proprietor,2019-03-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1553240614355-eeff3d14-dd6b-4121-b499-6e13a03c8945,2021-09-03 16:33:14,22,48000,179078,16861.24,open
Sole Proprietor,2019-03-01 00:00:00,Eastern Cape,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1525441906082-2c26a94e-d6f2-4080-aebb-ddcfd1d3cce1,2021-11-11 11:06:09,13,110000,143050,11461.88,open
Sole Proprietor,2019-03-01 00:00:00,Free State,Retail,Retail home,Furniture / Home goods,Card Machine,1553240453152-57268279-b346-415c-9f24-72d403ffc7e4,2021-11-26 09:05:06,23,50000,65050,5071.5,open
Company,2019-03-01 00:00:00,Gauteng,Retail,Retail art,Craft market,Card Machine,1553113841029-ba0daed7-7374-452b-aeba-84e0fae6ff8a,2021-11-25 14:40:57,15.91,200000,258000,,collections_on_hold
Sole Proprietor,2019-04-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Café,Card Machine,1556280263255-975d8e5f-a3f9-4133-8fae-d81808ea4120,2021-11-25 06:23:13,9.88,60000,70200,,collections_on_hold
Sole Proprietor,2019-05-01 00:00:00,North West,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1556727659519-167f3485-902d-46f5-a2c5-f14c664b8b41,2021-10-05 10:54:29,21,41000,60768,25238.43,open
Company,2019-05-01 00:00:00,Gauteng,Personal services,Personal services,Other Services,Card Machine,1559151884110-d0c56926-5745-4691-bdc7-88dcf3d4b216,2021-10-19 03:50:14,23,19500,60692,13643.83,open
Company,2019-07-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1562086972262-853d30bf-52d0-46e0-b471-1b717a050a27,2021-11-22 09:16:03,20.24,100000,112000,,collections_on_hold
Sole Proprietor,2019-07-01 00:00:00,Western Cape,Personal services,Personal services,Other Services,Card Machine,1558036205219-890ad5fc-2f05-4f3c-9977-e6476c27b250,2021-10-15 08:09:54,19,18500,82901,18291.11,open
Sole Proprietor,2019-07-01 00:00:00,Western Cape,Retail,Other retail,Other Retail,Card Machine,1563341674068-07066f12-c12d-4359-8019-c9c905923688,2021-11-09 07:41:49,21,38000,43371,12877.8,open
Sole Proprietor,2019-07-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Sport,Recreation/Sports,Card Machine,1564291442774-55711609-4294-444e-bdb7-8639b124aca0,2021-11-18 12:14:50,24,9000,11750,,collections_on_hold
Sole Proprietor,2019-08-01 00:00:00,Gauteng,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1565272190166-e15d7763-c16f-4841-9700-6958bda88955,2021-11-03 14:33:10,22,10500,21603,1412.4,open
Sole Proprietor,2019-09-01 00:00:00,Free State,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1568138958412-74ef9400-5a1e-48de-a799-ab02937f3162,2021-11-19 10:58:17,23,16000,20850,,collections_on_hold
Company,2019-09-01 00:00:00,Western Cape,Professional services,Other services,Other,Card Machine,1528700087934-a9cb0fdd-4563-4b94-8c26-6f9227cf6d2c,2021-10-15 12:29:47,23,14500,47546,10432.74,open
Sole Proprietor,2019-10-01 00:00:00,Western Cape,Retail,Retail leisure,Toy/Hobby/Games,Card Machine,1570987903162-ed657f0d-c03d-4a2e-9791-60ca3de01901,2021-11-29 13:49:04,17,35000,81691,996.7,open
Sole Proprietor,2019-10-01 00:00:00,Kwazulu-Natal,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1570779214192-8eb4bce9-2606-4559-97f9-d33d909f2d94,2021-10-18 12:10:23,23,16000,20850,4564.12,open
Sole Proprietor,2019-10-01 00:00:00,Limpopo,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1564813377727-7f98c38b-7ecc-457d-87fc-56b19862c35b,2021-11-22 19:06:16,25,60000,68451,,collections_on_hold
Company,2019-11-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1572731293306-fdfd84e0-b51c-4379-9f98-e4787d4e8e50,2021-10-31 13:25:07,23,9500,12400,1662.67,open
Sole Proprietor,2019-11-01 00:00:00,Limpopo,Retail,Other retail,Other Retail,Card Machine,1573019089473-e13acd93-6a16-4284-9932-8c1a69fbd4e0,2021-11-25 09:05:34,0,3000,3950,,collections_on_hold
Company,2019-11-01 00:00:00,Free State,"Food, drink and hospitality",Sit-in,Café,Card Machine,1573849097085-703f0bd8-dc52-4310-8ac5-917d9251b544,2021-10-07 12:14:26,22,43000,55950,11743.82,open
Company,2019-11-01 00:00:00,Gauteng,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1574244677739-3a4988b0-74d4-4f1d-a0db-81896133cc9f,2021-11-04 07:37:40,23,54000,70250,3780.74,open
Company,2019-11-01 00:00:00,Limpopo,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1574107640256-872e84c8-7246-495c-96f6-2904a3e284fe,2021-11-04 16:01:08,23,18000,23450,2477.1,open
Company,2019-11-01 00:00:00,Gauteng,Online,Online,Online Retail,Card Machine,1573561555699-3bd6500b-7030-4203-8246-cfeca302d937,2021-11-25 10:07:49,23,52000,125024,,collections_on_hold
Company,2019-11-01 00:00:00,Gauteng,Online,Online,Online Retail,Card Machine,1573561555699-3bd6500b-7030-4203-8246-cfeca302d937,2021-09-15 08:53:39,22,57000,92027,92027,finished
Sole Proprietor,2019-11-01 00:00:00,Gauteng,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1574847696928-401ec3ab-02f6-43fc-9505-2bd6cc4c7aad,2021-11-25 18:53:37,23,127000,165150,,collections_on_hold
Company,2019-11-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1574871453449-b851f04e-a26d-4539-8fc0-d23a49e48062,2021-11-09 07:58:51,23,84000,164837,21069.45,open
Sole Proprietor,2019-11-01 00:00:00,Gauteng,Leisure and entertainment,Private,Events,Card Machine,1534624374498-e00f305b-d72b-4a5f-ac36-5d642bce3ffd,2021-09-14 09:27:01,16,136000,176850,10097.92,open
Sole Proprietor,2019-11-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1571935345890-e920beab-3fab-4181-8e68-69a66e0cd66e,2021-09-14 11:01:50,22,12000,15650,6681.73,open
Company,2019-09-01 00:00:00,Kwazulu-Natal,Personal services,Personal services,Other Services,Card Machine,1567258790660-26c342f8-6471-4ef8-98c0-23d5afdad9cd,2021-11-22 06:27:55,23,31000,40350,,collections_on_hold
Company,2019-09-01 00:00:00,Eastern Cape,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1567599543804-e9f9d892-169c-47ab-a858-fd97841f51fa,2021-09-13 07:22:29,21,60000,84676,16641.86,open
Company,2019-09-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1568886167234-be610132-bc19-4625-ba7b-93841529588d,2021-11-16 14:14:57,15.14,425000,548250,28061.27,open
Sole Proprietor,2019-09-01 00:00:00,Northern Cape,Travel and tourism,Accomodation,Bed and Breakfast,Card Machine,1569427658424-c19c1094-fe61-45f8-99f2-f2816a05ab9c,2021-11-05 05:42:40,23,20000,26050,1851.5,open
Sole Proprietor,2019-09-01 00:00:00,Free State,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1569407981845-6eb454ab-9167-4916-9356-2610c3a268df,2021-11-12 05:39:21,23,22000,28650,4636.11,open
Company,2019-10-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1570021682673-5ad284cc-a9f5-4273-b6d2-7ff357c54733,2021-10-11 12:18:49,23,5000,6550,4918.55,open
Sole Proprietor,2019-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1570193679677-7d32194c-a683-4844-a554-6f5a1ce80647,2021-10-20 08:36:08,22,40000,48050,8178.5,open
Company,2019-10-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1501128650560-e227b49d-ff38-4224-b906-fe13b020bbce,2021-11-22 13:32:08,21,20000,26050,,collections_on_hold
Sole Proprietor,2019-10-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1493579246564-469affa0-7132-4eb9-a6d9-4ac28ba86e92,2021-11-25 12:55:39,10.78,180000,232200,,collections_on_hold
Sole Proprietor,2019-10-01 00:00:00,Gauteng,Retail,Other retail,Other Retail,Card Machine,1570285071235-620188ea-fb91-4cd1-bec2-a21a458afad2,2021-09-01 16:57:49,21,27000,35150,9985.5,open
Sole Proprietor,2019-10-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1481082876772-75725f6a-10d7-430a-9850-87e697d81bad,2021-09-03 11:54:47,10,18000,23450,9600.3,open
Company,2019-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1571048789474-d419ea0c-0926-4673-8d74-1f66860870db,2021-10-12 20:45:40,18,6000,7370,1976.62,open
Sole Proprietor,2019-10-01 00:00:00,Gauteng,Transportation,Goods transportation,Moving/Storage/Delivery,Card Machine,1571781126851-588f5831-8056-4b33-a38c-39810e5d6234,2021-11-11 20:06:51,23,7500,9800,1219,open
Sole Proprietor,2019-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Other food,"Other Food, Drink & Hospitality",Card Machine,1571831326917-743424af-da2d-4778-a129-4d72697c9415,2021-11-25 19:49:42,23,28000,42432,,collections_on_hold
